learning_rate,epochs,hidden_layers,activation,optimizer,accuracy,f1_score,precision,recall
0.01,300,"[32, 54]",tanh,mini_batch,0.6026200873362445,0.5831824475449994,0.6094753097851516,0.6026200873362445
0.01,300,"[32, 54]",tanh,batch,0.5414847161572053,0.5250066838962659,0.522466996004114,0.5414847161572053
0.01,500,[9],relu,sgd,0.6506550218340611,0.6213044287930473,0.6709632161994482,0.6506550218340611
0.01,500,[9],relu,mini_batch,0.6244541484716157,0.6103433087154347,0.6355386282299637,0.6244541484716157
0.01,500,[9],relu,batch,0.5895196506550219,0.5605004539502356,0.5919431263011068,0.5895196506550219
0.01,500,[9],sigmoid,sgd,0.6812227074235808,0.6658242291430063,0.6902040462141589,0.6812227074235808
0.01,500,[9],sigmoid,mini_batch,0.6200873362445415,0.5926187589456493,0.6202692265254329,0.6200873362445415
0.01,500,[9],sigmoid,batch,0.49344978165938863,0.425850603331378,0.5755606453266128,0.49344978165938863
0.01,500,[9],tanh,sgd,0.62882096069869,0.5891793706837265,0.61145430040967,0.62882096069869
0.01,500,[9],tanh,mini_batch,0.6157205240174672,0.5841782322337037,0.6200619846496092,0.6157205240174672
0.01,500,[9],tanh,batch,0.5676855895196506,0.5484950134619102,0.579730380278713,0.5676855895196506
0.01,500,"[32, 54]",relu,sgd,0.6506550218340611,0.6259286105758181,0.6966147370077501,0.6506550218340611
0.01,500,"[32, 54]",relu,mini_batch,0.6200873362445415,0.6048996525041713,0.6392349684776432,0.6200873362445415
0.01,500,"[32, 54]",relu,batch,0.6244541484716157,0.6080465515267334,0.634589545451422,0.6244541484716157
0.01,500,"[32, 54]",sigmoid,sgd,0.6550218340611353,0.6235471332803568,0.6910548169456334,0.6550218340611353
0.01,500,"[32, 54]",sigmoid,mini_batch,0.6331877729257642,0.6038552834668052,0.6417145024516896,0.6331877729257642
0.01,500,"[32, 54]",sigmoid,batch,0.5021834061135371,0.4166909848947817,0.5948626894714945,0.5021834061135371
0.01,500,"[32, 54]",tanh,sgd,0.6069868995633187,0.5842399030162633,0.6298963516455898,0.6069868995633187
0.01,500,"[32, 54]",tanh,mini_batch,0.6506550218340611,0.632230457418882,0.6594012373588511,0.6506550218340611
0.01,500,"[32, 54]",tanh,batch,0.5851528384279476,0.5581066205699813,0.59049818937054,0.5851528384279476
0.001,50,[9],relu,sgd,0.611353711790393,0.5687394829554229,0.5666718652526512,0.611353711790393
0.001,50,[9],relu,mini_batch,0.44541484716157204,0.4340852145121925,0.4314850636488944,0.44541484716157204
0.001,50,[9],relu,batch,0.22270742358078602,0.2787828377348028,0.38842298531163155,0.22270742358078602
0.001,50,[9],sigmoid,sgd,0.6157205240174672,0.5673254440715046,0.675065214496987,0.6157205240174672
0.001,50,[9],sigmoid,mini_batch,0.47161572052401746,0.4317415138309049,0.5507172493618503,0.47161572052401746
0.001,50,[9],sigmoid,batch,0.004366812227074236,0.008646288209606987,0.9912663755458515,0.004366812227074236
0.001,50,[9],tanh,sgd,0.6200873362445415,0.5925016975733934,0.6199855687608495,0.6200873362445415
0.001,50,[9],tanh,mini_batch,0.32751091703056767,0.3629080507345997,0.43264173791787464,0.32751091703056767
0.001,50,[9],tanh,batch,0.10043668122270742,0.12990908116827837,0.24272087353941854,0.10043668122270742
0.001,50,"[32, 54]",relu,sgd,0.6462882096069869,0.6196942048470433,0.6690232052890484,0.6462882096069869
0.001,50,"[32, 54]",relu,mini_batch,0.5240174672489083,0.5188360091102618,0.5165452223198385,0.5240174672489083
0.001,50,"[32, 54]",relu,batch,0.27510917030567683,0.31248332163029297,0.50182256308637,0.27510917030567683
0.001,50,"[32, 54]",sigmoid,sgd,0.5938864628820961,0.5479629390476947,0.5436573566319699,0.5938864628820961
0.001,50,"[32, 54]",sigmoid,mini_batch,0.4672489082969432,0.38662010028933974,0.5499475546785273,0.4672489082969432
0.001,50,"[32, 54]",sigmoid,batch,0.1091703056768559,0.028963550485696463,0.4839455432828153,0.1091703056768559
